fir_number,district,ward,crime_type,severity,latitude,longitude,timestamp,description,accused_names
DEMO-20260822-00001,Chikkaballapur,Chikkaballapur Demo Zone 3,Fraud,6,13.422305,77.719773,2026-06-29T21:37:09,Synthetic demo record: fraud reported in Chikkaballapur.,Rekha Sharma
DEMO-20260822-00002,Raichur,Raichur Demo Zone 1,Theft,5,16.209945,77.351896,2026-06-10T14:26:09,Synthetic demo record: theft reported in Raichur.,Ravi Kumar
DEMO-20260822-00003,Vijayapura,Vijayapura Demo Zone 2,Burglary,6,16.869656,75.754794,2026-07-10T14:52:09,Synthetic demo record: burglary reported in Vijayapura.,Meena Shetty|Rekha Shetty|Ganesh Nair
DEMO-20260822-00004,Mandya,Mandya Demo Zone 3,Theft,4,12.534321,76.898339,2026-06-27T22:54:09,Synthetic demo record: theft reported in Mandya.,Prakash Rao|Harish Rao
DEMO-20260822-00005,Raichur,Raichur Demo Zone 1,Theft,3,16.217019,77.335596,2026-07-21T09:29:09,Synthetic demo record: theft reported in Raichur.,Kiran Patil|Irfan Patil|Suresh Kumar
DEMO-20260822-00006,Chikkaballapur,Chikkaballapur Demo Zone 2,Fraud,5,13.447957,77.736408,2026-08-08T02:49:09,Synthetic demo record: fraud reported in Chikkaballapur.,Ganesh Rao
DEMO-20260822-00007,Chikkamagaluru,Chikkamagaluru Demo Zone 1,Robbery,8,13.354089,75.79485,2026-06-02T09:03:09,Synthetic demo record: robbery reported in Chikkamagaluru.,Kiran Rao|Harish Rao
DEMO-20260822-00008,Bagalkote,Bagalkote Demo Zone 1,Theft,5,16.198529,75.650663,2026-06-06T20:45:09,Synthetic demo record: theft reported in Bagalkote.,Manoj Gowda|Ramesh Gowda
DEMO-20260822-00009,Bidar,Bidar Demo Zone 3,Theft,5,17.918212,77.52291,2026-06-10T23:48:09,Synthetic demo record: theft reported in Bidar.,Rohit Nair|Santosh Nair
DEMO-20260822-00010,Gadag,Gadag Demo Zone 3,Vandalism,3,15.450337,75.65812,2026-06-02T12:45:09,Synthetic demo record: vandalism reported in Gadag.,Saleem Gowda|Deepak Reddy
DEMO-20260822-00011,Hassan,Hassan Demo Zone 3,Theft,4,12.99463,76.107026,2026-07-12T04:50:09,Synthetic demo record: theft reported in Hassan.,Arjun Reddy
DEMO-20260822-00012,Dakshina Kannada,Dakshina Kannada Demo Zone 4,Theft,3,12.881014,74.869304,2026-08-13T10:51:09,Synthetic demo record: theft reported in Dakshina Kannada.,Kavitha Patil|Saleem Patil|Ashok Patil
DEMO-20260822-00013,Koppal,Koppal Demo Zone 2,Theft,3,15.343753,76.171086,2026-05-31T10:44:09,Synthetic demo record: theft reported in Koppal.,Mahesh Rao|Pradeep Sharma
DEMO-20260822-00014,Kolar,Kolar Demo Zone 2,Burglary,5,13.123439,78.101505,2026-06-04T12:57:09,Synthetic demo record: burglary reported in Kolar.,Naveen Sharma|Santosh Sharma|Deepak Sharma
DEMO-20260822-00015,Shivamogga,Shivamogga Demo Zone 4,Fraud,5,13.941624,75.544118,2026-06-18T00:43:09,Synthetic demo record: fraud reported in Shivamogga.,Kiran Gowda
DEMO-20260822-00016,Kalaburagi,Kalaburagi Demo Zone 1,Dispute,3,17.310073,76.813334,2026-08-11T22:42:09,Synthetic demo record: dispute reported in Kalaburagi.,Mahesh Nair|Kavitha Shetty
DEMO-20260822-00017,Bengaluru Rural,Bengaluru Rural Demo Zone 3,Theft,3,13.279294,77.600949,2026-06-23T07:04:09,Synthetic demo record: theft reported in Bengaluru Rural.,Srinivas Shetty
DEMO-20260822-00018,Bengaluru Urban,Bengaluru Urban Demo Zone 4,Assault,7,12.973678,77.583552,2026-06-29T01:38:09,Synthetic demo record: assault reported in Bengaluru Urban.,Anil Nair|Farhan Shetty
DEMO-20260822-00019,Shivamogga,Shivamogga Demo Zone 2,Dispute,4,13.896548,75.580845,2026-06-04T22:54:09,Synthetic demo record: dispute reported in Shivamogga.,Ganesh Gowda|Ramesh Gowda
DEMO-20260822-00020,Chikkamagaluru,Chikkamagaluru Demo Zone 2,Dispute,4,13.348696,75.765346,2026-08-02T13:38:09,Synthetic demo record: dispute reported in Chikkamagaluru.,Harish Rao|Santosh Rao
